securityid,ticker,figi,mindate,maxdate
134,FUR,"",2003-09-10 00:00:00,2024-05-18 00:00:00
81,PRKR,BBG000BLPSV7,2003-09-10 00:00:00,2024-05-18 00:00:00
129,CCF,BBG00JHWRPP7,2003-09-10 00:00:00,2024-05-18 00:00:00
18,SWC,"",2003-09-10 00:00:00,2024-05-18 00:00:00
147,PCTY,"",2003-09-10 00:00:00,2005-12-26 00:00:00
35,TCAM,"",2003-09-10 00:00:00,2006-02-28 00:00:00
101,NEU,"",2003-09-10 00:00:00,2003-11-03 00:00:00
142,BXS,"",2003-09-10 00:00:00,2024-05-18 00:00:00
58,CWLZ,"",2003-09-10 00:00:00,2010-06-30 00:00:00
68,SMD,BBG000ND96D8,2003-09-10 00:00:00,2009-07-06 00:00:00
138,CCK,BBG000BF6756,2003-09-10 00:00:00,
92,RDTA,"",2003-09-10 00:00:00,2008-04-21 00:00:00
75,IYR,BBG000BXW687,2003-09-10 00:00:00,
41,SGR,"",2003-09-10 00:00:00,2009-08-20 00:00:00
610,ZILA,"",2003-09-10 00:00:00,2009-09-20 00:00:00
132,PRSF,"",2003-09-10 00:00:00,2003-09-28 00:00:00
82,VPA,"",2003-09-10 00:00:00,2003-11-13 00:00:00
27,PFD,BBG000BDMG71,2003-09-10 00:00:00,
103,MND,"",2003-09-10 00:00:00,2003-12-14 00:00:00
148,GALN,"",2003-09-10 00:00:00,2004-06-27 00:00:00
74,HFFB,"",2003-09-10 00:00:00,2004-07-11 00:00:00
121,ACAI,"",2003-09-10 00:00:00,2004-08-03 00:00:00
112,TGE,"",2003-09-10 00:00:00,2004-08-15 00:00:00
15,WNNB,"",2003-09-10 00:00:00,2004-10-05 00:00:00
100,HRH,"",2003-09-10 00:00:00,2008-10-01 00:00:00
104,ARTI,"",2003-09-10 00:00:00,2004-12-26 00:00:00
19,VDAT,"",2003-09-10 00:00:00,2005-01-04 00:00:00
131,MYD,BBG000BDG091,2003-09-10 00:00:00,
62,CRGN,"",2003-09-10 00:00:00,2009-10-01 00:00:00
26583,RTRE,BBG01N475725,2024-06-03 00:00:00,
153,NIM,BBG000CWVGL2,2003-09-10 00:00:00,
197,FCFC,"",2003-09-10 00:00:00,2013-05-19 00:00:00
190,GOT,"",2003-09-10 00:00:00,2008-10-26 00:00:00
16659,ATKR,BBG000QTFDQ4,2016-06-09 00:00:00,
270,CUK,BBG000CKYG71,2003-09-10 00:00:00,
162,IIS,"",2003-09-10 00:00:00,2005-04-17 00:00:00
